title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop 2,GAS,6XtiBZ34C9R5qvG9VBJBOJ,0.163,0.0588,8,-20.266,1,0.045,0.935,0.961,0.098,0.145,112.848
The Unquestioned Answer,Laurie Spiegel,2Xi2uBeFHI8zs5spiNmyqg,0.109,0.00134,8,-26.147,1,0.0518,0.993,0.875,0.101,0.169,70.906
I Will,Brian McBride,5WGoSnsHY26l4WTWX0L42t,0.109,0.0522,8,-19.843,1,0.0357,0.976,0.868,0.108,0.032,76.376
Tobiume,Susumu Yokota,4IQWc6rhJwpFrRKBLx27X6,0.241,0.254,6,-17.03,1,0.0416,0.994,0.88,0.0639,0.0378,139.131
Flown,Julianna Barwick,2VBkmi8P3zfrD5fAADEfIt,0.185,0.17,5,-17.286,1,0.039,0.994,0.912,0.0825,0.0367,87.839
On the Other Ocean,Belle and Sebastian,46UxS78qOWfuMhXEVN3dYb,0.0659,0.0935,0,-14.727,1,0.0433,0.985,0.922,0.0646,0.0354,72.988
1/1 - Remastered 2004,Brian Eno,3bCmDqflFBHijgJfvtqev5,0.26,0.00397,2,-31.095,1,0.0406,0.982,0.913,0.102,0.0368,82.862
Variations on a Theme by St-Dipshit,Kyle Bobby Dunn,3Q3ZAHNfjtWSTEUIBuXc1K,0.144,0.0781,9,-22.42,1,0.0414,0.989,0.928,0.0913,0.0305,71.344
?,Mark Pritchard,15RDpqONY9BUkRzpRtFZf5,0.184,0.0131,5,-15.119,1,0.0472,0.857,0.914,0.111,0.0258,143.098
Ode to an African Violet,Mort Garson,3XJYJVFiiC785DuFqVdhbQ,0.546,0.18,5,-21.321,0,0.0304,0.476,0.894,0.114,0.245,108.839
door to the cosmos,Chihei Hatakeyama,6sJlchLIX2krydtTBxsXUU,0.153,0.0145,5,-28.89,1,0.0435,0.995,0.978,0.0806,0.0335,138.658
Aries,Iasos,33Y2YALzXqMQtBVSDcHOof,0.351,0.242,5,-20.02,0,0.0412,0.9,0.915,0.0984,0.034,58.587
Dungeoneering,Tim Hecker,2rRrV0syrGGaVbVDHXESs3,0.173,0.656,8,-8.004,0,0.0511,0.549,0.885,0.158,0.0723,73.208
View from My Window,Hiroshi Yoshimura,4KrsGAgv8b2982iqaokrO0,0.297,0.00705,7,-23.733,1,0.0444,0.99,0.929,0.0877,0.0863,66.198
Lizard Point - Remastered 2004,Brian Eno,3an5DoMqoNpJEQwfA48A4c,0.136,0.0108,1,-35.954,1,0.0343,0.897,0.813,0.147,0.0312,88.529
Don't Bother They're Here,Stars Of The Lid,477naywDON3t1iAF4COlOV,0.109,0.00822,1,-28.425,1,0.0529,0.942,0.885,0.129,0.0321,75.629
Track3a (2waynice),Keith Fullerton Whitman,0jV5pkyZByn7pV12Rzbtuu,0.294,2.03e-05,4,-32.406,1,0.0927,0.99,0.131,0.0817,0.812,69.153
#20,Aphex Twin,5IExVHUiRccCWyJ4imu9qD,0.142,0.042,9,-26.441,0,0.0432,0.971,0.913,0.052,0.0427,141.164
The Point of It All,Fennesz,7L91TzFocp9ridztsLLAsH,0.204,0.331,7,-15.755,0,0.0385,0.848,0.955,0.148,0.0503,86.632
Lights On Water,Pan-American,7JcGySsJWYeAxESN63zowD,0.156,0.0945,8,-22.386,1,0.0435,0.832,0.902,0.0974,0.0657,65.687
Piano Aquieu,Stars Of The Lid,3sLgMuBTIEp761Zi7bl5im,0.115,0.0015,5,-37.529,1,0.0471,0.981,0.947,0.0945,0.0344,67.35
