,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2497,0.183,0.0473,2,-21.272,1,0.0375,0.932,0.91,0.0984,0.0365,73.398
2498,0.676,0.916,9,-4.511,0,0.0394,0.00135,0.00142,0.274,0.8,128.024
2499,0.624,0.647,3,-4.68,0,0.0335,0.0169,0.0038,0.221,0.379,136.022
2500,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866
2501,0.748,0.746,1,-9.721,1,0.111,0.281,3.31e-05,0.632,0.709,123.144
2502,0.818,0.732,9,-4.253,1,0.209,0.0997,0.0389,0.074,0.37,130.063
2503,0.424,0.906,5,-10.985,1,0.061,0.00612,0.00186,0.988,0.676,168.447
2504,0.649,0.903,7,-3.677,1,0.0318,0.000841,0.000351,0.122,0.412,121.841
2505,0.714,0.976,10,-7.349,0,0.0548,0.0284,0.00695,0.756,0.577,121.89
2506,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
2507,0.7,0.808,9,-4.522,0,0.0446,0.00141,0.0,0.611,0.664,120.033
2508,0.639,0.751,0,-6.357,0,0.0324,2.96e-05,4.9e-05,0.163,0.13,120.992
2509,0.522,0.826,5,-4.157,0,0.0352,0.00224,0.00148,0.114,0.478,149.374
2510,0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976
2511,0.181,0.772,0,-5.201,1,0.0385,0.0601,0.00045,0.072,0.607,166.741
2512,0.777,0.736,0,-10.082,1,0.037,0.00755,0.0136,0.302,0.835,116.375
2513,0.811,0.935,11,-4.595,0,0.0407,0.0134,0.411,0.0244,0.968,138.479
2514,0.654,0.75,8,-7.509,0,0.105,0.246,0.0178,0.167,0.557,92.78
2515,0.611,0.946,4,-5.357,1,0.0378,0.00957,0.0708,0.36,0.763,125.398
2516,0.728,0.818,9,-3.26,1,0.23,0.00124,0.00189,0.292,0.905,127.962
2517,0.564,0.834,2,-6.978,1,0.0384,0.00129,0.0,0.886,0.534,93.906
2518,0.384,0.527,11,-5.294,0,0.0269,0.542,0.0,0.156,0.222,100.73
2519,0.534,0.694,9,-9.296,0,0.0472,0.000466,0.0485,0.155,0.45,166.791
2520,0.725,0.859,7,-6.208,1,0.0636,0.0173,0.0137,0.048,0.53,131.697
